texts,labels,target,target_index,
"I guess I am really getting frustrated because I had the mast . more than 2 months ago and just started back to work last week - 1/2 days ! After all this time , and all these complications , all I seem to find are all the things I ca n't do - things that I want to continue to do , things that I want to start to do to improve my health ... So far , the more information I read , the more frustrated and more discouraged and afraid I feel , especially about the things I have already done on the `` do n't '' list .",1,train,116,
It is definitely a hard decision to make . I wanted to have a bilateral and 3 opinions told me that it was not necessary and a lumpectomy would be fine When I had the first lumpectomy they told me I ended up having multifocal -LRB- more than 1 spot -RRB- disease .,1,road,90,
"Just what you need to hear about , another choice ! Another chance to wonder if you 're making the best choices .",1,boat,28,
"TerryV , I am in the double blind study of A/C followed by Taxol with Avastin for patients with Lymph Node involvement . I will find out Oct 13 if I am actually receiving the Avastin or just a placebo .",1,boat,151,
"I have 4 more regular and then 5 boosts , ca n't wait to be done . It will be nice to have a day that i do not have to sit in the car for 3ξ1/2 hours ! Will have lots of trips back and forth but it wil be more a few times a month .",1,road,102,
"Hi all to those newly dx , you will surprise yourself how strong you are . I found out 1/2 that I had IDC stage IIIa and this past monday 1/14 had a mastecomy and SNB . I too was numb and shell shocked . It took me by complete surprize . This board has been my comfort zone .",1,road,246,
"I had my first fill on 1-14 . It was pretty uneventful . I have a mentor tissue expander in place , filled with 200cc at the time of the mastectomy . The fill process went like this for me . I am in a wrap around gown , in a reclining chair . The PS uses a magnetic locater to find the port area on the breast , which he marks with a purple pen . He then filled a syringe with 100cc of sterile saline fluid that is attached to tubing with vents to aid in the filling of the tissue expander .",1,road,351,
"I do think that different feelings tend to be evoked by pink ribbons in those of us with stage IV than those with earlier stage cancers . DCIS tx often involves the same tx and surgeries , but is considered `` curable '' like all the other earlier stage bc 's .",1,road,167,
"This will sound crazy and would not be recommended by MDs . My burns were horrible ! Being a retired nurse , I KNOW I broke every rule in `` the book '' , but I tried doing what I was told ... which was to use Aquafor or keep the area clean and dry .",0,boat,116,
"I had 2 mammograms , and one ultra sound that was clear and said I did n't have cancer . Then they ordered a needle biopsy of the lump under my arm , and the tissue came back with cancer cells . Because they ca n't find the tumor they ordered a Cat-Scan to check the chest , liver , stomach area , and a full body Bone-Scan , and found no cancer anywhere else in the body except the breast .",1,light,331,
"Lali , It seems like a good choice by your oncologists to offer you Xeloda , in light of the PET demonstrated intramammary node .",1,light,17,
"Otter , you always do such a great job of putting the scientific into easy to understand terms . I can only imagine what a great teacher you have been .",1,road,95,
My wife had TRAM FLAP right after her double mastectomy in August .,1,road,41,
Hi ! I 'm in the same boat ! I was already 10 pounds overweight .,1,boat,7,
"Hi Karen , I 'm an ILC , not IDC , and nobody can really tell me if I 'm Stage IIb or IIIa .",1,road,66,
Amy - I asked my Dr. a few weeks ago . he said a small part of my lung was being radiated and it was just brushing my heart .,1,road,89,
"Hi Deb . I had DCIS on right side and had a unilateral mastectomy Sept 2008 . The following July 2009 , I had a prophylactic mastectomy on the other side .",1,road,75,
Cyber hugs to you - this is definitely a hard road .,1,road,10,
I do n't know what you have done so far . If your breast hurts and itches uncontrollably I would also investigate Paget 's disease of the nipple or mammary glands .,1,boat,65,
"I 'm sorry the rash has spread , yet encouraged to hear you have a diagnosis and it 's being treated .",0,candles,53,
I had my first treatment yesterday afternoon .,0,lights,25,
"O.K. I have totally and certifiably lost it beyond control . I went to Walmart with my husband to get my juice and a few things and ran into my cousin and we were in conversation when I suddenly relized after entering Wally and I just smile at everyone , I smiled at the greeter and the return lady as I had a return .",1,lights,195,
I decided to go with tram instead of expanders because I felt it would bring me closer to feeling `` normal '' .,1,road,95,
Sue and Digger you ladies will do just fine . I had my surgery -LRB- mastectomy on right breast with tissue expander put in -RRB- Feb 27 . 5ξ1/2 weeks later my doctor gave me the ok to go biking and I think I started running at about 8 weeks .,0,ride,184,
"Hi Pennylane - Yes , I know exactly what you are talking about . I am five years out from chemo , lumpectomy and radiation . I did n't have an overly hard experience during my treatment but at the same time it was n't exactly easy . I did continue to work -LRB- part-time -RRB- for the year I was going through treatment , I did n't have a choice , that was the only way to continue my health insurance .",1,boat,387,
"Terrified of chemo , myself . Have ILC , left modified radical mastectomy with one of nine lymph nodes positive . Stage2/Grade 3/Triple positive .",1,road,131,
Hi all you girls sceduled for September . I had my bm last September with expanders filled to 700cc . I had a lot of pressure but not much pain from the expanders . My issue has been the pain from the Mas . Apparently I have very sensitive nerves and the nerve pain has been an issue ever since my mas . I have been on pain killers for one year now .,1,light,302,
"Yes Lisa , thats what my chemo mind could n't think of , routine follow up visits .",0,roads,56,
"This has been the perfect thread for me and it 's just at the right time , too . You all have made me laugh and admire each of you . The pics are just wonderful and you all look sooo young . I am 3ξ1/2 month post dmx and still have lots of lumpy , bumpy swirly things under my arms and down my sides . The fat is completely gone from my chest wall and my ribs stick out with a few small lumps that probably will go away given time and enough massage .",0,train,386,
Hey Dani - I had my dbl mast in June w / expanders . I had silicone implants in Oct. and just had nipple reconstruction a few wks .,1,spice,86,
Welcome to group Sue . I too am not having chemo and so far the rads are not bad only # 3 of 33 done though ! A little tired but take naps when you can .,1,ride,44,
Blogging . I started a blog right after diagnosis . I do n't have any photos or my name on it so no one knows it 's me . I have told no one about my blog so they ca n't find it .,1,road,126,
Juli ... I got to gigglin ' when you mentioned sleeping during chemo ... I get a bag of Benadryl in my pre-meds ... I will attempt to stay awake for about ten minutes ... then I 'm out like a light .,1,light,41,
I 'm in the same boat as you .,1,boat,5,
"Helena , thanks for letting me know about the dry eyes .",1,train,41,
"Hi Rsinkey ! Thanks for sharing your story with me , I do so appreciate it at this time of non-stop thnking about everything.I am convinced that if I take the `` wait & see '' attitude , I will undoubtly be fighting a bigger fight the next time .",1,road,136,
DiDel : you said that you understood from your doctor that `` the tamoxifen is to help prevent it in your breast .,1,light,88,
Today was my last round of chemo . The bad bad shot tomorrow -- ugh -- then a week of feeling like no energy .,1,light,90,
"I guess I am really getting frustrated because I had the mast . more than 2 months ago and just started back to work last week - 1/2 days ! After all this time , and all these complications , all I seem to find are all the things I ca n't do - things that I want to continue to do , things that I want to start to do to improve my health ... So far , the more information I read , the more frustrated and more discouraged and afraid I feel , especially about the things I have already done on the `` do n't '' list .",1,light,138,
I am in the same boat and have the bottle of Tamox sitting there waiting for me to try it .,1,boat,5,
Hi again ... I have n't been in here for a while so I have some catching up to do .,1,boat,66,
"Traci ~ Yes , the rad onc wanted me to stop Tamox prior to starting the rads .",0,train,54,
"jdg , I still have a natural side -LRB- as do most of the other women who posted on this thread -RRB- , thus the mammo although I did meet a woman -LRB- while I was in the holding pen -RRB- who had bilats with Tram reconstruction and she was still having mammos ... .",1,boat,128,
"No stiff neck with tamox , but yes to the ` anxiety/anxious stomach ' feeling ? It comes and goes and started when I started tamox in Feb. 2007...chemo-induced menopause causing me at now age 50 to become post-menopausal , so we 'll be switching to an aromatase-inhibitor soon , no more tamox .",1,train,127,
I 'm in the same boat ever since chemo .,1,boat,5,
"I got my drains out last night at the hospital , and before going home , I said to hell with my surgical bra which I 'd been wearing for the last week and tossed it into the trash .",0,ride,65,
"American Airlines is flying planes with pink ribbons , and if you happen to be in Chicago in October , both O'Hare and Midway airports both display huge pink ribbon light displays every year -- I was in awe of all of the support for this disease when first diagnosed .",0,light,30,
My,1,roads,158,
"tncbRuth - I hear you and totally understand the missing ` you ' . I had a hair cut a couple of days ago . My hair , which was straight BFC , is now crazy curly .",1,light,123,
HAD LAST CHEMO FINALLY ON THURSDAY !!!! FEELING LIKE % ^ & * -LRB- TODAY BUT BY TOMORROW NIGHT I WILL FINALLY BE ON THE ROAD TO NORMAL !!! BTW my hair started growing back about 3 weeks ago - of course the stuff on my head is growing slower than my chin hairs lol .,1,road,25,
"Hi Anna , I am like you just starting on the road to recovery , keep posting and cry when you feel like crying .",1,road,11,
"believe me ladies , the only response i have is my very red face ! i didnt see the `` b '' part at all ; i am new to this computer stuff , and never did look at the date ; kinda funny , really . am having gi problems of my own .",1,light,193,
Oh what a world what a world-I can not believe that Lee won American Idol .,0,lights,46,
"I just wanted to update my post . I did get a second opinion , which has helped . My Oncotype score was 15 , but that test does not factor in things like lymphatic or lymphovascular invasion .",1,road,172,
"Hi All : Starting chemo tomorrow , AC 4x every 2 weeks then taxol 4 x every two weeks , then radiation .",1,road,57,
"I did not know where to post this on our site , yet wished to let you know of a passing . On September 14 , 2007 , breast cancer patients and it 's community loss a valiant fighter against breast cancer . Martin D. Abeloff , M.D. , 65 , died of leukemia . He was Chief Oncologist and Director of the Sidney Kimmel Comprehensive Cancer Center , Johns Hopkins University . Dr. Abeloff 's mother was diagnosed with breast cancer when he was twelve .",0,candle,394,
"Boy is n't this fun , watching the snow fall . I need a Wally World fix . I go to walk to get exercise .",0,roads,80,
Just wrote a post that was deleted by accident . Frustrating and I do n't have chemo to blame . Here goes again . Re : lymphedema . I suffered 3rd degree burns and had skin grafts on my upper right arm and underarm about 10 years ago . Following surgeries I had physical therapy and wore acompression garmet consistenly for a year .,1,road,282,
I had skin grafts on my skin sparing mastectomy sites due to necrosis from paper tape allergy .,0,road,61,
Hi - it 's like a century since I was going through chemo and on the boards . Started radio on 6th and developed cough three treatments in !! General physician and chief radiographer concerned - the latter even asked me if I wanted to stop ! Finding it very hard here in Hong Kong .,1,road,110,
I do n't know what a hot spot is but I do n't think this is cancer -- especially in light of the fact that you were just dx 'd with something else .,1,light,20,
Just got the news today that I am going to need chemo as well as radiation because of the her2 . Next is an echo cardiogram and having a port put in and then meeting with oncologist again on March 17 .,1,ride,101,
Lee - My CTA prior to my hip flap reconstruction also picked up some spots on my liver and on my kidney . My doctor re-ran the CT scan a couple of weeks ago and there are 7 simple cysts -LRB- all less than 1 cm -RRB- and a hemangioma which is between 9 and 12 mm .,0,lights,142,
"I have had floaters for 17 years , since my detached retina , so I do n't worry about those .",0,light,69,
"Sue , Thanks for searching me out . I just finished catching up on your thread . You have been on quite the roller coaster ride . After a rough couple days at home -LRB- I could n't even feed myself my arm hurt so had and was so swollen -RRB- I think I have finally turned the corner and am starting to feel better .",1,road,158,
"Angie - I 've skipped over some of these posts , so somebody may have already gotten back to you on this : I 'm also on A/C . I take the 1st of the 3 Emend -LRB- the 125mg tab -RRB- on tx day , an hour before tx . I also apply the cream -LRB- Emla or generic -RRB- an hour before tx ; apply liberally & cover with saran wrap . I had a port inserted during my lumpectomy , & I 'm so glad that I did . They draw the bloodwork thru it on tx day , plus give my the pre-tx meds & then the tx 's thru it . The pre-meds they gave me on tx day were Decadron -LRB- steroid -RRB- , Aloxi -LRB- anti-nausea -RRB- , & Ativan -LRB- anti-nausea + anti-anxiety -RRB- . -LRB- Next tx , I 'm going to try w/o the Ativan ; I was exceptionally sleepy the entire day last time , & my onc said I could try w/o it or w/half dose .",0,spices,726,
"Hi everyone , It 's been a long time since I posted here and it 's good to see some familiar names -LRB- i.e. LuAnn - hi -RRB- . I could use some advice or recommendations from any of you on what to do when an AI stops working .",1,light,138,
"Hi Ladies , My last chemo was last week !!! So glad to have it behind me -LRB- TC X 6 -RRB- .",1,light,39,
"I think I have a good one here . Got diagnosed with BC in May , the exact next day after getting the horrible news , I got a call from my PS to tell me my blood tests revealed I 'm about one month pregnant too . Long story short , we wanted to keep the baby -LRB- is our first child -RRB- but we were not sure about the options or how bad the cancer was . First I had a lumpectomy by the end of May only to discover the tumor grew and had no clear edges , lucky me lymph nodes were clear and stage was I . So I went under surgery again by the end of June , this time LMX .",0,boat,549,
"1965sally and kimbly , I hope you both did well with your surgeries yesterday and are already on the road to a healthy recovery ! Thinking of all the April surgery gals , and ca n't believe the month has already passed .",1,road,19,
Kathleen : - I could be mistaken but I thought that all tumors over 2 cm were treated with chemo first in order to shrink them to an operable size .,1,road,81,
Hello Ladies ... I 'm comming abord the Tamoxifen train .,1,train,9,
"Thank you for all your replies , it does help to hear other people have gone before me down this road .",1,road,20,
"One Step , my advice , though I did n't have a Mx , is take someone with you to help write things down and listen .",1,road,61,
"Dear Bam , Thank you for telling us your story and of your beliefs . I am sorry you have breast cancer and have had to join us , and with that said welcome you to this strong group of women and men all traveling the same journey .",1,road,133,
"Hi Jordymom , thanks for your reply . I 've been trying to weigh the pros and cons all day - ca n't seem to turn my mind off even for a minute - Just went thru one heck of a crying spell , which I do n't normally do .",1,road,134,
"Nash , for whatever it 's worth . My tumor was deep and 2 mm from the chest wall . I had IDC , ILC , LCIS and DCIS all in the same tumor .",1,road,90,
"Hi , I 'm coming along for this ride too .",1,ride,8,
"I have not gone on estradiol YET , but it may be an option for me down the road , I just returned from Houston TX where I spent a week and had a consultaion with an oncologist at MD Anderson who thinks I may have been taken off the aromasin prematurely since the only change he noted in reviewing my records was that my tumor markers had gone up and he said often there is a jump up and if you give a medication enough time it will go back down .",1,road,18,
"It 's so great to be sailing on this big love boat with all my sisters ! I am 47 , and working hard on planning my husband 's big 5-0 in May - I think he 'll be surprised since he thinks I 'm kinda preoccupied right now - little does HE know ! Chemo on Tuesday went well - AC - have had MINIMUAL side effects , if any , really so far ! Insomnia and lazy as hell , but no nauseau or any of the stuff I was dreading .",1,boat,11,
"Hi everyone , Glad to see this thread is still going -- even if slowly . I have been busy with my just-turned 3 y.o. dd . We had full time help while I was going through chemo , but now it 's back to part time , so I 'm spending more time with dd -LRB- yay ! -RRB- .",1,ride,175,
Had rads # 1 today !! And not surprisingly I can can say I 'm fine .,1,road,29,
"Him mine are just as long . I also had a lat flap on one side , besides implants , so I also have a scar running down my back that is about 8 inches.The lat flap side has the mast scar , the back scar , and another scar on the fake boob , so it looks like the cbs symbol -LRB- the eye -RRB- .",0,lights,84,
I just had 12/33 . I am already uncomfortable . The rads tech keeps telling me that my pain has nothing to do with the treatments . A new divot has appeared above my incision . They claim that is unrelated to rads .,1,ride,186,
"Here I stand shivering on the edge of the high board , squeze my eyes shut , pinch my nose and ... JUMP . After 13 years of actively not wanting to know , I recently stumbled on this site and am now considerably more knowledgeble about my case and ready to REVEAL ALL -LRB- and hopefully receive revelations from others -RRB- . May 26 , 1996 , enjoying a liesurely shower before dressing in beige befitting the mother of the groom , I discovered the lump . A BIG lump - 8cm . One week later I was enrolled in protocol seeking to discover if taxotere in combination with the gold standard chemo mix could shrink the tumor to the point that a lumpectomy would be as effective as a radical mastectomy .",1,road,616,
Good luck to everyone of us in March ... ... March 3rd marks my year anniversary since my mx and `` diep '' ... .,1,road,30,
"Cupcake , you are a ray of warm spring sunshine ! Your advice and encouragement to newbies is just so right on .",1,road,97,
"I had an ablation and it worked great for me . I had no side effects at all afterwards . I had my tubes tied app . 15 years ago and from what I can remember , it went great to .",0,light,120,
"Lucky you to be able to shower after 4 days . I had to wait until both my drains came out , which took 2 weeks . However , it was really hard gearing up for that first look .",1,road,163,
I had the CYP2D6 genotype and was found to be an extensive metabolizer so its the Tamoxifen Train for me ... as with most tumor markers there is always controversy ... for me it was the tipping point to convince me to start Tamoxifen as I was very concerned about the uterine changes and increased risk of uterine cancer .,1,train,17,
"Roxy , Tamoxifen is a good drug so do n't fret . Although I do n't understand the one year on Tamoxifen after an ooph -LRB- unless it is to lower your circulating estrogen before the switch -RRB- . I made the switch right away but I was 49 and chemo had put me in chemopause so I had not had a period for over 6 months and my estrogen levels were postmenopausal . I agree with Tender that you need to eat .",0,light,388,
